Date,AAPL,AGL.JO,FSR.JO,MSFT,MTN.JO,NPN.JO,NVDA,SBK.JO,USDZAR=X
2024-01-01,,,,,,,,,18.26959991455078
2024-01-02,183.73130798339844,44752.5625,7243.37890625,364.5893859863281,11521.84765625,60997.75,48.13856887817383,20672.37109375,18.300399780273438
2024-01-03,182.35562133789062,43227.79296875,7010.65625,364.32403564453125,11391.939453125,61738.89453125,47.53993606567383,20258.943359375,18.55558967590332
2024-01-04,180.03965759277344,43791.71484375,7090.56103515625,361.70904541015625,11300.0048828125,62556.03125,47.96867752075195,20333.83984375,18.674299240112305
2024-01-05,179.31715393066406,43915.5078125,7100.54931640625,361.5223083496094,11295.0078125,61586.10546875,49.0670051574707,20503.603515625,18.686899185180664
2024-01-08,183.65213012695312,42647.16796875,7171.46484375,368.3447570800781,11115.1357421875,60805.36328125,52.22107696533203,20594.478515625,18.670289993286133
2024-01-09,183.23643493652344,42375.02734375,7153.48583984375,369.4261169433594,11190.08203125,59732.05078125,53.107540130615234,20715.310546875,18.564199447631836
2024-01-10,184.27566528320312,43050.95703125,7127.51708984375,376.28790283203125,11124.12890625,58620.73046875,54.316795349121094,20657.390625,18.63878059387207
2024-01-11,183.6818389892578,43050.95703125,7123.521484375,378.1164855957031,11214.0654296875,60025.42578125,54.788509368896484,20649.40234375,18.631759643554688
2024-01-12,184.00845336914062,43362.39453125,7025.63818359375,381.89141845703125,11181.087890625,59842.23828125,54.676570892333984,20822.1640625,18.645099639892578
2024-01-15,,42775.86328125,6734.98388671875,,11092.1513671875,59559.66015625,,20340.828125,18.60658073425293
2024-01-16,181.7419891357422,42245.34375,6773.93798828125,383.6609191894531,11012.2080078125,58180.3671875,56.34755325317383,19954.36328125,18.649099349975586
2024-01-17,180.80174255371094,41285.4921875,6648.08740234375,382.8744812011719,10760.3857421875,56959.859375,56.01875686645508,19499.9921875,18.959089279174805
2024-01-18,186.69056701660156,42186.39453125,6692.03564453125,387.1999206542969,10757.3876953125,57973.9765625,57.07211685180664,19691.7265625,19.079200744628906
2024-01-19,189.59042358398438,42245.34375,6780.92919921875,391.91864013671875,10562.525390625,58507.33984375,59.454654693603516,19708.70703125,18.921100616455078
2024-01-22,191.896484375,41854.328125,6666.06591796875,389.7952575683594,10593.50390625,57985.578125,59.6175537109375,19667.76171875,19.008899688720703
2024-01-23,193.1732177734375,43017.546875,6767.9443359375,392.144775390625,10517.5576171875,60595.37890625,59.836421966552734,19820.552734375,19.193300247192383
2024-01-24,192.50021362304688,43673.8203125,6798.908203125,395.7427673339844,10471.5908203125,63795.1328125,61.32451248168945,19810.5625,18.91320037841797
2024-01-25,192.17361450195312,43007.7265625,6741.9755859375,398.0137023925781,10106.8486328125,63445.1640625,61.5793571472168,19722.685546875,18.877979278564453
2024-01-26,190.44158935546875,44133.609375,6886.8037109375,397.0895690917969,10426.6220703125,64305.8984375,60.99371337890625,20182.05078125,18.880399703979492
2024-01-29,189.75869750976562,44131.64453125,6689.0390625,402.781494140625,9992.9296875,63655.14453125,62.42683410644531,19922.408203125,18.757030487060547
