FirstRand,Standard_Bank,Naspers,Anglo_American,MTN_Group,Apple,Microsoft,Nvidia,USD_ZAR_Rate
7243.37890625,20672.369140625,60997.75,44752.5625,11521.84765625,183.73129272460938,364.5894470214844,48.13856887817383,18.26959991455078
7243.37890625,20672.369140625,60997.75,44752.5625,11521.84765625,183.73129272460938,364.5894470214844,48.13856887817383,18.300399780273438
7010.65625,20258.94140625,61738.89453125,43227.796875,11391.939453125,182.35560607910156,364.32403564453125,47.539939880371094,18.55558967590332
7090.56103515625,20333.837890625,62556.03125,43791.71484375,11300.0048828125,180.0396728515625,361.7091369628906,47.96868133544922,18.674299240112305
7100.54931640625,20503.60546875,61586.10546875,43915.51171875,11295.0078125,179.31715393066406,361.5223083496094,49.067012786865234,18.686899185180664
7171.46435546875,20594.4765625,60805.36328125,42647.16796875,11115.1357421875,183.65213012695312,368.34478759765625,52.2210807800293,18.670289993286133
7153.486328125,20715.310546875,59732.05078125,42375.02734375,11190.08203125,183.2364501953125,369.4261474609375,53.107540130615234,18.564199447631836
7127.51708984375,20657.390625,58620.73046875,43050.95703125,11124.12890625,184.27565002441406,376.2879333496094,54.31679916381836,18.63878059387207
7123.52197265625,20649.40234375,60025.42578125,43050.95703125,11214.0654296875,183.68182373046875,378.1164245605469,54.78850555419922,18.631759643554688
7025.63818359375,20822.1640625,59842.23828125,43362.39453125,11181.087890625,184.0084228515625,381.8913879394531,54.67658233642578,18.645099639892578
6734.984375,20340.830078125,59559.66015625,42775.86328125,11092.1513671875,182.87520599365234,382.7761535644531,55.512067794799805,18.60658073425293
6773.93798828125,19954.36328125,58180.3671875,42245.33984375,11012.2080078125,181.7419891357422,383.6609191894531,56.34755325317383,18.649099349975586
6648.08740234375,19499.994140625,56959.859375,41285.4921875,10760.3857421875,180.80177307128906,382.8744812011719,56.018760681152344,18.959089279174805
6692.03515625,19691.728515625,57973.9765625,42186.390625,10757.3876953125,186.69053649902344,387.20001220703125,57.072113037109375,19.079200744628906
6780.92919921875,19708.705078125,58507.33984375,42245.33984375,10562.525390625,189.59043884277344,391.9186706542969,59.45465850830078,18.921100616455078
6666.06640625,19667.76171875,57985.578125,41854.328125,10593.50390625,191.89646911621094,389.7952880859375,59.6175537109375,19.008899688720703
